employee_id,first_name,last_name,email,department,salary,joining_date,age
1,Joshua,Ramos,alexandra29@gmail.com,Operations,65314,5/23/2024,42
2,Christina,Clark,littlekyle@yahoo.com,IT,58827,2/10/2021,46
3,Jonathon,Sullivan,tannerivan@johnson.com,Operations,57427,4/30/2020,50
4,Clinton,Aguirre,jamieortega@yahoo.com,HR,45353,4/4/2021,55
5,Veronica,Weber,trevinosteven@ramos.com,Operations,78773,6/10/2020,51
6,Louis,Rivera,parksamy@gmail.com,Finance,30449,5/5/2020,41
7,Sabrina,Gonzalez,rwillis@mason-clark.biz,Marketing,88477,10/15/2020,48
8,Jillian,Lewis,sreese@mclean-baker.net,Marketing,49896,8/6/2021,33
9,Caroline,Kennedy,inguyen@huynh.com,Finance,88879,7/17/2024,47
10,Adam,Sanchez,luisclark@hotmail.com,HR,88331,3/23/2020,38
11,Sara,Miller,tmoore@warren-lewis.org,Marketing,68588,7/21/2020,26
12,Hannah,Carrillo,dianeroberts@becker.com,Operations,82047,5/13/2024,59
13,Elizabeth,Johnson,ramirezbriana@hotmail.com,IT,83585,11/12/2023,27
14,Victor,Lamb,michellebrown@finley.com,Finance,55038,10/29/2024,56
15,Tammy,Collins,cherylbanks@gmail.com,HR,39383,12/3/2021,52
16,Miranda,Mcmahon,bonillamatthew@yahoo.com,Operations,41564,4/20/2021,37
17,Carla,Melton,nicholas84@johnson-phillips.com,Finance,41987,8/11/2024,28
18,Robert,Sullivan,millerallison@hotmail.com,Finance,72897,9/6/2024,46
19,Jessica,Williams,royrandy@kelly.com,Operations,98452,2/7/2020,28
20,Kristina,Rivera,fbrooks@martin-blair.com,IT,85703,12/18/2022,59
21,Jason,Harding,smithgarrett@gmail.com,Finance,54101,8/31/2022,47
22,Karen,Brown,mcdonaldchristina@haynes.com,Marketing,78103,7/2/2020,41
23,David,Webster,zacharylee@thomas-sharp.com,Marketing,35390,6/21/2022,54
24,Margaret,Barry,isaacfischer@hotmail.com,Marketing,58500,11/17/2024,53
25,Monica,Olson,zparrish@hotmail.com,IT,75404,2/1/2021,24
26,Eduardo,Smith,rossjared@montes.com,IT,96756,3/31/2021,42
27,Carrie,Olson,isabellahall@gmail.com,Marketing,72155,5/31/2021,23
28,Bradley,Flowers,david06@johnson-simon.com,HR,71647,1/20/2021,23
29,Derek,Dunlap,zhudson@frank.org,Finance,87173,4/5/2020,48
30,Christopher,Wilson,nmurray@rivera.biz,HR,85121,6/4/2021,28
31,Kristina,Banks,gutierrezjeffrey@gmail.com,Operations,91453,9/14/2021,36
32,Nancy,Ortiz,claytonmcguire@turner-fowler.com,HR,37426,4/18/2023,35
33,Kristine,Roberts,elizabethwhite@yahoo.com,Finance,64356,2/2/2022,59
34,Robert,Duke,unguyen@yahoo.com,Marketing,49303,4/2/2020,48
35,Kenneth,Phillips,michael73@webb.com,Finance,51958,1/11/2021,40
36,Douglas,Webster,wcarey@ray.biz,Finance,96161,11/10/2024,26
37,Dylan,Warner,robertschristopher@wilkerson.org,IT,57349,12/15/2022,31
38,Anthony,Moran,pearsonmichael@schmidt-hernandez.info,Marketing,61179,7/17/2022,33
39,Jessica,Stokes,robertjones@gmail.com,IT,60328,12/24/2022,24
40,Katie,Gordon,stephaniegill@hotmail.com,HR,77255,12/28/2021,37
41,Kathleen,Bailey,zthompson@smith-wall.com,Finance,92873,11/22/2024,24
42,James,Vaughn,jessicaperez@hall.com,HR,47271,11/18/2023,51
43,Jaime,Evans,millerkathleen@fuller.info,HR,31594,4/21/2020,55
44,Vanessa,Rosario,angela21@yahoo.com,Marketing,65409,4/15/2021,42
45,Dwayne,Kline,zjenkins@shaffer.com,HR,55993,4/17/2023,31
46,Jeremiah,Silva,richardsonmichael@hotmail.com,HR,34163,12/23/2021,46
47,Michelle,Perez,waterscharles@gmail.com,Finance,44353,11/29/2023,29
48,Ricardo,Wilson,michaelhawkins@hotmail.com,IT,31025,12/27/2022,60
49,Barbara,Gay,zkim@yahoo.com,IT,87650,4/16/2021,53
50,Eugene,Taylor,chadmcdonald@mitchell.com,Finance,35104,9/1/2023,38
51,Joshua,Freeman,smithkarl@li.org,Finance,35893,3/25/2023,59
52,Melissa,Garcia,anthonypeters@yahoo.com,HR,49094,6/20/2021,51
53,David,Flynn,riveraangel@hotmail.com,Operations,35476,9/3/2023,55
54,Steven,Robinson,westariana@griffith-shepherd.info,HR,41452,8/12/2022,25
55,Thomas,Davis,arnoldsean@allen.com,Operations,61915,8/12/2022,33
56,Larry,Vargas,jonesjames@hotmail.com,Finance,43183,9/23/2022,51
57,William,Hodge,judy34@ferrell-garrett.com,Operations,60669,5/27/2024,41
58,David,King,louismendoza@nguyen.org,Finance,32340,10/28/2021,39
